id;email;type_plan;city;;;;;;;;;;
77;paciente_77@email.com;Intermediary;City_4;;;;;;;;;;
79;paciente_79@email.com;Basic;City_2;;;;;;;;;;
81;paciente_81@email.com;Basic;City_5;;;;;;;;;;
83;paciente_83@email.com;Complete;City_2;;;;;;;;;;
86;paciente_86@email.com;Basic;City_4;;;;;;;;;;
87;paciente_87@email.com;Basic;City_2;;;;;;;;;;
88;paciente_88@email.com;Basic;City_1;;;;;;;;;;
90;paciente_90@email.com;Basic;City_5;;;;;;;;;;
92;paciente_92@email.com;Basic;City_5;;;;;;;;;;
94;paciente_94@email.com;Complete;City_1;;;;;;;;;;
95;paciente_95@email.com;Complete;City_2;;;;;;;;;;
96;paciente_96@email.com;Intermediary;City_1;;;;;;;;;;
97;paciente_97@email.com;Intermediary;City_3;;;;;;;;;;
100;paciente_100@email.com;Complete;City_4;;;;;;;;;;
103;paciente_103@email.com;Complete;City_4;;;;;;;;;;
104;paciente_104@email.com;Basic;City_3;;;;;;;;;;
105;paciente_105@email.com;Basic;City_1;;;;;;;;;;
106;paciente_106@email.com;Complete;City_4;;;;;;;;;;
107;paciente_107@email.com;Complete;City_5;;;;;;;;;;
108;paciente_108@email.com;Complete;City_4;;;;;;;;;;
109;paciente_109@email.com;Basic;City_4;;;;;;;;;;
111;paciente_111@email.com;Basic;City_3;;;;;;;;;;
113;paciente_113@email.com;Intermediary;City_4;;;;;;;;;;
114;paciente_114@email.com;Basic;City_2;;;;;;;;;;
115;paciente_115@email.com;Basic;City_5;;;;;;;;;;
116;paciente_116@email.com;Basic;City_5;;;;;;;;;;
117;paciente_117@email.com;Intermediary;City_1;;;;;;;;;;
119;paciente_119@email.com;Intermediary;City_3;;;;;;;;;;
121;paciente_121@email.com;Complete;City_2;;;;;;;;;;
122;paciente_122@email.com;Intermediary;City_3;;;;;;;;;;
123;paciente_123@email.com;Complete;City_2;;;;;;;;;;
124;paciente_124@email.com;Basic;City_4;;;;;;;;;;
125;paciente_125@email.com;Basic;City_5;;;;;;;;;;
126;paciente_126@email.com;Intermediary;City_5;;;;;;;;;;
127;paciente_127@email.com;Intermediary;City_1;;;;;;;;;;
129;paciente_129@email.com;Basic;City_5;;;;;;;;;;
131;paciente_131@email.com;Basic;City_4;;;;;;;;;;
132;paciente_132@email.com;Complete;City_3;;;;;;;;;;
133;paciente_133@email.com;Intermediary;City_4;;;;;;;;;;
134;paciente_134@email.com;Basic;City_4;;;;;;;;;;
135;paciente_135@email.com;Complete;City_1;;;;;;;;;;
136;paciente_136@email.com;Basic;City_4;;;;;;;;;;
137;paciente_137@email.com;Complete;City_2;;;;;;;;;;
138;paciente_138@email.com;Complete;City_5;;;;;;;;;;
139;paciente_139@email.com;Complete;City_4;;;;;;;;;;
140;paciente_140@email.com;Basic;City_2;;;;;;;;;;
141;paciente_141@email.com;Intermediary;City_4;;;;;;;;;;
142;paciente_142@email.com;Intermediary;City_5;;;;;;;;;;
143;paciente_143@email.com;Complete;City_1;;;;;;;;;;
144;paciente_144@email.com;Intermediary;City_2;;;;;;;;;;
145;paciente_145@email.com;Intermediary;City_2;;;;;;;;;;
146;paciente_146@email.com;Intermediary;City_5;;;;;;;;;;
148;paciente_148@email.com;Complete;City_5;;;;;;;;;;
149;paciente_149@email.com;Basic;City_4;;;;;;;;;;
154;paciente_154@email.com;Intermediary;City_4;;;;;;;;;;
157;paciente_157@email.com;Basic;City_1;;;;;;;;;;
158;paciente_158@email.com;Complete;City_5;;;;;;;;;;
161;paciente_161@email.com;Complete;City_3;;;;;;;;;;
162;paciente_162@email.com;Intermediary;City_2;;;;;;;;;;
163;paciente_163@email.com;Complete;City_2;;;;;;;;;;
164;paciente_164@email.com;Intermediary;City_2;;;;;;;;;;
166;paciente_166@email.com;Basic;City_5;;;;;;;;;;
167;paciente_167@email.com;Basic;City_1;;;;;;;;;;
168;paciente_168@email.com;Complete;City_2;;;;;;;;;;
169;paciente_169@email.com;Intermediary;City_5;;;;;;;;;;
170;paciente_170@email.com;Complete;City_3;;;;;;;;;;
171;paciente_171@email.com;Complete;City_3;;;;;;;;;;
172;paciente_172@email.com;Complete;City_5;;;;;;;;;;
173;paciente_173@email.com;Basic;City_5;;;;;;;;;;
174;paciente_174@email.com;Complete;City_5;;;;;;;;;;
175;paciente_175@email.com;Complete;City_2;;;;;;;;;;
176;paciente_176@email.com;Intermediary;City_2;;;;;;;;;;
177;paciente_177@email.com;Basic;City_1;;;;;;;;;;
178;paciente_178@email.com;Complete;City_4;;;;;;;;;;
180;paciente_180@email.com;Basic;City_3;;;;;;;;;;
182;paciente_182@email.com;Complete;City_2;;;;;;;;;;
183;paciente_183@email.com;Intermediary;City_4;;;;;;;;;;
184;paciente_184@email.com;Basic;City_3;;;;;;;;;;
185;paciente_185@email.com;Complete;City_3;;;;;;;;;;
186;paciente_186@email.com;Intermediary;City_4;;;;;;;;;;
189;paciente_189@email.com;Complete;City_3;;;;;;;;;;
190;paciente_190@email.com;Basic;City_1;;;;;;;;;;
191;paciente_191@email.com;Basic;City_1;;;;;;;;;;
192;paciente_192@email.com;Intermediary;City_1;;;;;;;;;;
196;paciente_196@email.com;Complete;City_1;;;;;;;;;;
197;paciente_197@email.com;Basic;City_1;;;;;;;;;;
199;paciente_199@email.com;Intermediary;City_1;;;;;;;;;;
200;paciente_200@email.com;Complete;City_4;;;;;;;;;;
201;paciente_201@email.com;Complete;City_4;;;;;;;;;;
202;paciente_202@email.com;Intermediary;City_2;;;;;;;;;;
203;paciente_203@email.com;Complete;City_2;;;;;;;;;;
204;paciente_204@email.com;Complete;City_2;;;;;;;;;;
206;paciente_206@email.com;Basic;City_3;;;;;;;;;;
207;paciente_207@email.com;Basic;City_1;;;;;;;;;;
208;paciente_208@email.com;Intermediary;City_4;;;;;;;;;;
209;paciente_209@email.com;Basic;City_1;;;;;;;;;;
210;paciente_210@email.com;Complete;City_5;;;;;;;;;;
211;paciente_211@email.com;Basic;City_4;;;;;;;;;;
213;paciente_213@email.com;Intermediary;City_3;;;;;;;;;;
215;paciente_215@email.com;Complete;City_1;;;;;;;;;;
216;paciente_216@email.com;Basic;City_3;;;;;;;;;;
217;paciente_217@email.com;Basic;City_3;;;;;;;;;;
218;paciente_218@email.com;Complete;City_1;;;;;;;;;;
219;paciente_219@email.com;Complete;City_1;;;;;;;;;;
220;paciente_220@email.com;Intermediary;City_4;;;;;;;;;;
223;paciente_223@email.com;Basic;City_3;;;;;;;;;;
224;paciente_224@email.com;Intermediary;City_5;;;;;;;;;;
225;paciente_225@email.com;Basic;City_1;;;;;;;;;;
227;paciente_227@email.com;Complete;City_5;;;;;;;;;;
229;paciente_229@email.com;Basic;City_1;;;;;;;;;;
230;paciente_230@email.com;Basic;City_4;;;;;;;;;;
231;paciente_231@email.com;Complete;City_5;;;;;;;;;;
234;paciente_234@email.com;Basic;City_1;;;;;;;;;;
235;paciente_235@email.com;Basic;City_5;;;;;;;;;;
237;paciente_237@email.com;Complete;City_2;;;;;;;;;;
238;paciente_238@email.com;Intermediary;City_3;;;;;;;;;;
239;paciente_239@email.com;Intermediary;City_1;;;;;;;;;;
240;paciente_240@email.com;Intermediary;City_4;;;;;;;;;;
241;paciente_241@email.com;Intermediary;City_1;;;;;;;;;;
242;paciente_242@email.com;Complete;City_4;;;;;;;;;;
244;paciente_244@email.com;Intermediary;City_1;;;;;;;;;;
245;paciente_245@email.com;Complete;City_2;;;;;;;;;;
248;paciente_248@email.com;Intermediary;City_4;;;;;;;;;;
250;paciente_250@email.com;Basic;City_3;;;;;;;;;;
251;paciente_251@email.com;Basic;City_4;;;;;;;;;;
252;paciente_252@email.com;Intermediary;City_4;;;;;;;;;;
253;paciente_253@email.com;Complete;City_2;;;;;;;;;;
254;paciente_254@email.com;Basic;City_3;;;;;;;;;;
255;paciente_255@email.com;Intermediary;City_1;;;;;;;;;;
257;paciente_257@email.com;Intermediary;City_4;;;;;;;;;;
258;paciente_258@email.com;Intermediary;City_2;;;;;;;;;;
259;paciente_259@email.com;Complete;City_1;;;;;;;;;;
260;paciente_260@email.com;Intermediary;City_2;;;;;;;;;;
261;paciente_261@email.com;Intermediary;City_3;;;;;;;;;;
264;paciente_264@email.com;Complete;City_4;;;;;;;;;;
265;paciente_265@email.com;Basic;City_3;;;;;;;;;;
267;paciente_267@email.com;Complete;City_2;;;;;;;;;;
271;paciente_271@email.com;Complete;City_2;;;;;;;;;;
272;paciente_272@email.com;Intermediary;City_1;;;;;;;;;;
275;paciente_275@email.com;Intermediary;City_3;;;;;;;;;;
276;paciente_276@email.com;Complete;City_5;;;;;;;;;;
277;paciente_277@email.com;Complete;City_2;;;;;;;;;;
278;paciente_278@email.com;Intermediary;City_1;;;;;;;;;;
279;paciente_279@email.com;Intermediary;City_1;;;;;;;;;;
281;paciente_281@email.com;Basic;City_5;;;;;;;;;;
283;paciente_283@email.com;Intermediary;City_1;;;;;;;;;;
285;paciente_285@email.com;Basic;City_4;;;;;;;;;;
286;paciente_286@email.com;Complete;City_1;;;;;;;;;;
287;paciente_287@email.com;Basic;City_3;;;;;;;;;;
288;paciente_288@email.com;Intermediary;City_1;;;;;;;;;;
289;paciente_289@email.com;Intermediary;City_1;;;;;;;;;;
290;paciente_290@email.com;Complete;City_1;;;;;;;;;;
291;paciente_291@email.com;Intermediary;City_1;;;;;;;;;;
292;paciente_292@email.com;Intermediary;City_1;;;;;;;;;;
293;paciente_293@email.com;Complete;City_1;;;;;;;;;;
294;paciente_294@email.com;Intermediary;City_1;;;;;;;;;;
295;paciente_295@email.com;Intermediary;City_1;;;;;;;;;;
296;paciente_296@email.com;Basic;City_1;;;;;;;;;;
297;paciente_297@email.com;Basic;City_1;;;;;;;;;;
299;paciente_299@email.com;Basic;City_1;;;;;;;;;;
303;paciente_303@email.com;Complete;City_4;;;;;;;;;;
305;paciente_305@email.com;Basic;City_3;;;;;;;;;;
306;paciente_306@email.com;Intermediary;City_4;;;;;;;;;;
308;paciente_308@email.com;Complete;City_3;;;;;;;;;;
309;paciente_309@email.com;Intermediary;City_1;;;;;;;;;;
310;paciente_310@email.com;Intermediary;City_2;;;;;;;;;;
311;paciente_311@email.com;Complete;City_5;;;;;;;;;;
312;paciente_312@email.com;Intermediary;City_4;;;;;;;;;;
314;paciente_314@email.com;Intermediary;City_1;;;;;;;;;;
316;paciente_316@email.com;Basic;City_2;;;;;;;;;;
318;paciente_318@email.com;Intermediary;City_4;;;;;;;;;;
320;paciente_320@email.com;Intermediary;City_1;;;;;;;;;;
321;paciente_321@email.com;Intermediary;City_1;;;;;;;;;;
322;paciente_322@email.com;Complete;City_4;;;;;;;;;;
324;paciente_324@email.com;Intermediary;City_5;;;;;;;;;;
325;paciente_325@email.com;Intermediary;City_5;;;;;;;;;;
327;paciente_327@email.com;Basic;City_5;;;;;;;;;;
328;paciente_328@email.com;Intermediary;City_4;;;;;;;;;;
329;paciente_329@email.com;Basic;City_1;;;;;;;;;;
330;paciente_330@email.com;Basic;City_5;;;;;;;;;;
332;paciente_332@email.com;Complete;City_3;;;;;;;;;;
334;paciente_334@email.com;Complete;City_5;;;;;;;;;;
335;paciente_335@email.com;Intermediary;City_4;;;;;;;;;;
336;paciente_336@email.com;Complete;City_1;;;;;;;;;;
337;paciente_337@email.com;Basic;City_1;;;;;;;;;;
338;paciente_338@email.com;Basic;City_1;;;;;;;;;;
340;paciente_340@email.com;Intermediary;City_1;;;;;;;;;;
341;paciente_341@email.com;Basic;City_3;;;;;;;;;;
342;paciente_342@email.com;Complete;City_1;;;;;;;;;;
343;paciente_343@email.com;Intermediary;City_4;;;;;;;;;;
344;paciente_344@email.com;Basic;City_2;;;;;;;;;;
345;paciente_345@email.com;Complete;City_2;;;;;;;;;;
346;paciente_346@email.com;Basic;City_4;;;;;;;;;;
347;paciente_347@email.com;Basic;City_3;;;;;;;;;;
350;paciente_350@email.com;Basic;City_2;;;;;;;;;;
351;paciente_351@email.com;Intermediary;City_5;;;;;;;;;;
352;paciente_352@email.com;Intermediary;City_3;;;;;;;;;;
354;paciente_354@email.com;Basic;City_3;;;;;;;;;;
355;paciente_355@email.com;Basic;City_1;;;;;;;;;;
356;paciente_356@email.com;Basic;City_1;;;;;;;;;;
357;paciente_357@email.com;Basic;City_3;;;;;;;;;;
358;paciente_358@email.com;Intermediary;City_4;;;;;;;;;;
359;paciente_359@email.com;Complete;City_1;;;;;;;;;;
360;paciente_360@email.com;Complete;City_3;;;;;;;;;;
361;paciente_361@email.com;Complete;City_5;;;;;;;;;;
362;paciente_362@email.com;Basic;City_1;;;;;;;;;;
363;paciente_363@email.com;Complete;City_3;;;;;;;;;;
366;paciente_366@email.com;Complete;City_4;;;;;;;;;;
369;paciente_369@email.com;Complete;City_1;;;;;;;;;;
371;paciente_371@email.com;Intermediary;City_5;;;;;;;;;;
372;paciente_372@email.com;Complete;City_1;;;;;;;;;;
373;paciente_373@email.com;Complete;City_3;;;;;;;;;;
374;paciente_374@email.com;Complete;City_2;;;;;;;;;;
375;paciente_375@email.com;Complete;City_1;;;;;;;;;;
376;paciente_376@email.com;Complete;City_1;;;;;;;;;;
377;paciente_377@email.com;Basic;City_4;;;;;;;;;;
378;paciente_378@email.com;Complete;City_2;;;;;;;;;;
379;paciente_379@email.com;Intermediary;City_1;;;;;;;;;;
380;paciente_380@email.com;Intermediary;City_5;;;;;;;;;;
382;paciente_382@email.com;Complete;City_2;;;;;;;;;;
383;paciente_383@email.com;Complete;City_1;;;;;;;;;;
384;paciente_384@email.com;Basic;City_3;;;;;;;;;;
385;paciente_385@email.com;Complete;City_2;;;;;;;;;;
386;paciente_386@email.com;Basic;City_2;;;;;;;;;;
388;paciente_388@email.com;Complete;City_4;;;;;;;;;;
389;paciente_389@email.com;Basic;City_1;;;;;;;;;;
390;paciente_390@email.com;Intermediary;City_1;;;;;;;;;;
391;paciente_391@email.com;Complete;City_1;;;;;;;;;;
396;paciente_396@email.com;Intermediary;City_1;;;;;;;;;;
398;paciente_398@email.com;Complete;City_1;;;;;;;;;;
399;paciente_399@email.com;Complete;City_1;;;;;;;;;;
400;paciente_400@email.com;Intermediary;City_5;;;;;;;;;;
402;paciente_402@email.com;Complete;City_2;;;;;;;;;;
403;paciente_403@email.com;Basic;City_5;;;;;;;;;;
404;paciente_404@email.com;Complete;City_1;;;;;;;;;;
408;paciente_408@email.com;Basic;City_1;;;;;;;;;;
409;paciente_409@email.com;Intermediary;City_1;;;;;;;;;;
410;paciente_410@email.com;Complete;City_1;;;;;;;;;;
412;paciente_412@email.com;Basic;City_4;;;;;;;;;;
413;paciente_413@email.com;Basic;City_3;;;;;;;;;;
414;paciente_414@email.com;Complete;City_5;;;;;;;;;;
415;paciente_415@email.com;Basic;City_1;;;;;;;;;;
416;paciente_416@email.com;Basic;City_3;;;;;;;;;;
417;paciente_417@email.com;Intermediary;City_1;;;;;;;;;;
420;paciente_420@email.com;Basic;City_1;;;;;;;;;;
422;paciente_422@email.com;Intermediary;City_1;;;;;;;;;;
423;paciente_423@email.com;Intermediary;City_5;;;;;;;;;;
426;paciente_426@email.com;Intermediary;City_4;;;;;;;;;;
427;paciente_427@email.com;Intermediary;City_5;;;;;;;;;;
428;paciente_428@email.com;Intermediary;City_4;;;;;;;;;;
431;paciente_431@email.com;Intermediary;City_2;;;;;;;;;;
432;paciente_432@email.com;Complete;City_2;;;;;;;;;;
434;paciente_434@email.com;Basic;City_1;;;;;;;;;;
438;paciente_438@email.com;Intermediary;City_1;;;;;;;;;;
440;paciente_440@email.com;Complete;City_2;;;;;;;;;;
441;paciente_441@email.com;Complete;City_5;;;;;;;;;;
442;paciente_442@email.com;Intermediary;City_4;;;;;;;;;;
443;paciente_443@email.com;Basic;City_4;;;;;;;;;;
446;paciente_446@email.com;Basic;City_2;;;;;;;;;;
447;paciente_447@email.com;Complete;City_1;;;;;;;;;;
449;paciente_449@email.com;Intermediary;City_1;;;;;;;;;;
450;paciente_450@email.com;Basic;City_5;;;;;;;;;;
451;paciente_451@email.com;Intermediary;City_2;;;;;;;;;;
452;paciente_452@email.com;Basic;City_4;;;;;;;;;;
453;paciente_453@email.com;Basic;City_1;;;;;;;;;;
454;paciente_454@email.com;Basic;City_4;;;;;;;;;;
455;paciente_455@email.com;Intermediary;City_5;;;;;;;;;;
456;paciente_456@email.com;Basic;City_4;;;;;;;;;;
457;paciente_457@email.com;Basic;City_2;;;;;;;;;;
458;paciente_458@email.com;Basic;City_4;;;;;;;;;;
459;paciente_459@email.com;Basic;City_1;;;;;;;;;;
461;paciente_461@email.com;Intermediary;City_5;;;;;;;;;;
464;paciente_464@email.com;Complete;City_5;;;;;;;;;;
465;paciente_465@email.com;Basic;City_3;;;;;;;;;;
466;paciente_466@email.com;Intermediary;City_4;;;;;;;;;;
467;paciente_467@email.com;Intermediary;City_1;;;;;;;;;;
469;paciente_469@email.com;Complete;City_1;;;;;;;;;;
473;paciente_473@email.com;Complete;City_2;;;;;;;;;;
474;paciente_474@email.com;Basic;City_5;;;;;;;;;;
475;paciente_475@email.com;Basic;City_3;;;;;;;;;;
476;paciente_476@email.com;Intermediary;City_1;;;;;;;;;;
477;paciente_477@email.com;Basic;City_5;;;;;;;;;;
478;paciente_478@email.com;Basic;City_3;;;;;;;;;;
480;paciente_480@email.com;Intermediary;City_1;;;;;;;;;;
481;paciente_481@email.com;Basic;City_5;;;;;;;;;;
482;paciente_482@email.com;Complete;City_2;;;;;;;;;;
483;paciente_483@email.com;Complete;City_1;;;;;;;;;;
484;paciente_484@email.com;Basic;City_1;;;;;;;;;;
485;paciente_485@email.com;Intermediary;City_5;;;;;;;;;;
486;paciente_486@email.com;Complete;City_5;;;;;;;;;;
487;paciente_487@email.com;Complete;City_2;;;;;;;;;;
488;paciente_488@email.com;Complete;City_4;;;;;;;;;;
490;paciente_490@email.com;Basic;City_1;;;;;;;;;;
491;paciente_491@email.com;Basic;City_1;;;;;;;;;;
492;paciente_492@email.com;Intermediary;City_1;;;;;;;;;;
493;paciente_493@email.com;Intermediary;City_1;;;;;;;;;;
494;paciente_494@email.com;Intermediary;City_1;;;;;;;;;;
495;paciente_495@email.com;Complete;City_1;;;;;;;;;;
500;paciente_500@email.com;Basic;City_3;;;;;;;;;;
502;paciente_502@email.com;Basic;City_5;;;;;;;;;;
506;paciente_506@email.com;Basic;City_4;;;;;;;;;;
508;paciente_508@email.com;Basic;City_1;;;;;;;;;;
510;paciente_510@email.com;Basic;City_2;;;;;;;;;;
511;paciente_511@email.com;Basic;City_1;;;;;;;;;;
513;paciente_513@email.com;Intermediary;City_5;;;;;;;;;;
514;paciente_514@email.com;Intermediary;City_5;;;;;;;;;;
518;paciente_518@email.com;Complete;City_2;;;;;;;;;;
519;paciente_519@email.com;Intermediary;City_1;;;;;;;;;;
520;paciente_520@email.com;Basic;City_2;;;;;;;;;;
521;paciente_521@email.com;Basic;City_5;;;;;;;;;;
522;paciente_522@email.com;Intermediary;City_5;;;;;;;;;;
524;paciente_524@email.com;Basic;City_2;;;;;;;;;;
525;paciente_525@email.com;Intermediary;City_2;;;;;;;;;;
526;paciente_526@email.com;Intermediary;City_5;;;;;;;;;;
527;paciente_527@email.com;Intermediary;City_4;;;;;;;;;;
528;paciente_528@email.com;Complete;City_3;;;;;;;;;;
531;paciente_531@email.com;Basic;City_2;;;;;;;;;;
533;paciente_533@email.com;Intermediary;City_5;;;;;;;;;;
537;paciente_537@email.com;Complete;City_1;;;;;;;;;;
538;paciente_538@email.com;Complete;City_3;;;;;;;;;;
539;paciente_539@email.com;Intermediary;City_1;;;;;;;;;;
540;paciente_540@email.com;Basic;City_2;;;;;;;;;;
542;paciente_542@email.com;Complete;City_4;;;;;;;;;;
543;paciente_543@email.com;Intermediary;City_5;;;;;;;;;;
545;paciente_545@email.com;Intermediary;City_5;;;;;;;;;;
546;paciente_546@email.com;Complete;City_5;;;;;;;;;;
548;paciente_548@email.com;Intermediary;City_1;;;;;;;;;;
550;paciente_550@email.com;Basic;City_1;;;;;;;;;;
551;paciente_551@email.com;Basic;City_5;;;;;;;;;;
552;paciente_552@email.com;Basic;City_3;;;;;;;;;;
553;paciente_553@email.com;Basic;City_3;;;;;;;;;;
555;paciente_555@email.com;Complete;City_1;;;;;;;;;;
558;paciente_558@email.com;Complete;City_3;;;;;;;;;;
559;paciente_559@email.com;Intermediary;City_1;;;;;;;;;;
562;paciente_562@email.com;Complete;City_1;;;;;;;;;;
563;paciente_563@email.com;Intermediary;City_2;;;;;;;;;;
564;paciente_564@email.com;Basic;City_3;;;;;;;;;;
565;paciente_565@email.com;Complete;City_2;;;;;;;;;;
566;paciente_566@email.com;Complete;City_3;;;;;;;;;;
567;paciente_567@email.com;Basic;City_2;;;;;;;;;;
568;paciente_568@email.com;Complete;City_2;;;;;;;;;;
569;paciente_569@email.com;Intermediary;City_1;;;;;;;;;;
572;paciente_572@email.com;Basic;City_1;;;;;;;;;;
573;paciente_573@email.com;Basic;City_5;;;;;;;;;;
574;paciente_574@email.com;Complete;City_4;;;;;;;;;;
577;paciente_577@email.com;Complete;City_2;;;;;;;;;;
580;paciente_580@email.com;Basic;City_5;;;;;;;;;;
581;paciente_581@email.com;Basic;City_2;;;;;;;;;;
582;paciente_582@email.com;Basic;City_1;;;;;;;;;;
583;paciente_583@email.com;Basic;City_1;;;;;;;;;;
584;paciente_584@email.com;Basic;City_1;;;;;;;;;;
585;paciente_585@email.com;Intermediary;City_2;;;;;;;;;;
586;paciente_586@email.com;Basic;City_5;;;;;;;;;;
587;paciente_587@email.com;Intermediary;City_5;;;;;;;;;;
589;paciente_589@email.com;Basic;City_1;;;;;;;;;;
591;paciente_591@email.com;Complete;City_1;;;;;;;;;;
592;paciente_592@email.com;Intermediary;City_1;;;;;;;;;;
593;paciente_593@email.com;Complete;City_1;;;;;;;;;;
594;paciente_594@email.com;Intermediary;City_1;;;;;;;;;;
596;paciente_596@email.com;Intermediary;City_1;;;;;;;;;;
599;paciente_599@email.com;Intermediary;City_1;;;;;;;;;;
600;paciente_600@email.com;Complete;City_1;;;;;;;;;;
602;paciente_602@email.com;Complete;City_1;;;;;;;;;;
604;paciente_604@email.com;Basic;City_2;;;;;;;;;;
605;paciente_605@email.com;Basic;City_5;;;;;;;;;;
606;paciente_606@email.com;Basic;City_4;;;;;;;;;;
608;paciente_608@email.com;Complete;City_4;;;;;;;;;;
609;paciente_609@email.com;Intermediary;City_1;;;;;;;;;;
610;paciente_610@email.com;Basic;City_4;;;;;;;;;;
611;paciente_611@email.com;Complete;City_2;;;;;;;;;;
612;paciente_612@email.com;Intermediary;City_1;;;;;;;;;;
613;paciente_613@email.com;Basic;City_5;;;;;;;;;;
614;paciente_614@email.com;Basic;City_3;;;;;;;;;;
615;paciente_615@email.com;Basic;City_1;;;;;;;;;;
616;paciente_616@email.com;Complete;City_5;;;;;;;;;;
618;paciente_618@email.com;Complete;City_5;;;;;;;;;;
620;paciente_620@email.com;Basic;City_5;;;;;;;;;;
622;paciente_622@email.com;Intermediary;City_2;;;;;;;;;;
623;paciente_623@email.com;Complete;City_1;;;;;;;;;;
625;paciente_625@email.com;Intermediary;City_5;;;;;;;;;;
627;paciente_627@email.com;Basic;City_2;;;;;;;;;;
628;paciente_628@email.com;Complete;City_5;;;;;;;;;;
630;paciente_630@email.com;Complete;City_5;;;;;;;;;;
631;paciente_631@email.com;Intermediary;City_1;;;;;;;;;;
632;paciente_632@email.com;Basic;City_2;;;;;;;;;;
633;paciente_633@email.com;Basic;City_3;;;;;;;;;;
634;paciente_634@email.com;Intermediary;City_5;;;;;;;;;;
638;paciente_638@email.com;Complete;City_2;;;;;;;;;;
641;paciente_641@email.com;Intermediary;City_5;;;;;;;;;;
647;paciente_647@email.com;Intermediary;City_1;;;;;;;;;;
649;paciente_649@email.com;Basic;City_1;;;;;;;;;;
650;paciente_650@email.com;Basic;City_1;;;;;;;;;;
651;paciente_651@email.com;Intermediary;City_1;;;;;;;;;;
652;paciente_652@email.com;Intermediary;City_1;;;;;;;;;;
653;paciente_653@email.com;Basic;City_3;;;;;;;;;;
